metric,claude_ai_share,claude_ai_n,api_share,api_n,diff,diff_lo,diff_hi
automation_share,0.4554558488308527,969510.0,0.7974614883922759,848056.0,0.3420056395614232,0.34069629087075226,0.34331498825209417
coursework_share,0.12448509655877452,999702.0,0.05668456473869715,999549.0,-0.06780053182007736,-0.06859067342682872,-0.06701039021332601
success_rate,0.699385,1000000.0,0.5054765054765055,999999.0,-0.19390849452349457,-0.19523814309480889,-0.19257884595218025
work_share,0.45247783839584194,999702.0,0.7418385691947068,999549.0,0.2893607307988649,0.28806147695545575,0.290659984642274
