source,geo_id,metric,parent_id,x,n,share,x_rest,n_rest,share_rest,diff,diff_lo,diff_hi
claude_ai,AE,automation_share,GLOBAL,1971.0,4559.0,0.4323316516779996,439598.0,964951.0,0.4555651012331196,-0.023233449555120023,-0.0376483445694482,-0.008818554540791852
claude_ai,AE,coursework_share,GLOBAL,399.0,4703.0,0.08483946417180523,124049.0,994999.0,0.12467248710802724,-0.03983302293622201,-0.04782315640319647,-0.03184288946924756
claude_ai,AE,success_rate,GLOBAL,3195.0,4704.0,0.6792091836734694,696190.0,995296.0,0.699480355592708,-0.020271171919238662,-0.03364091410040419,-0.006901429738073129
claude_ai,AE,work_share,GLOBAL,2608.0,4703.0,0.5545396555390176,449735.0,994999.0,0.45199542914113483,0.1025442263978828,0.08830566409114096,0.11678278870462463
claude_ai,AE-AZ,automation_share,AE,369.0,818.0,0.4511002444987775,1602.0,3741.0,0.4282277465918204,0.022872497906957112,-0.014734500725459357,0.06047949653937358
claude_ai,AE-AZ,coursework_share,AE,122.0,845.0,0.14437869822485208,277.0,3858.0,0.07179885951270087,0.0725798387121512,0.0475203623502814,0.09763931507402102
claude_ai,AE-AZ,success_rate,AE,569.0,845.0,0.6733727810650888,2626.0,3859.0,0.6804871728427053,-0.007114391777616524,-0.04199074012029375,0.027761956565060704
claude_ai,AE-AZ,work_share,AE,417.0,845.0,0.493491124260355,2191.0,3858.0,0.5679108346293417,-0.07441971036898665,-0.1115777571264238,-0.03726166361154949
claude_ai,AE-DU,automation_share,AE,1380.0,3262.0,0.4230533415082771,591.0,1297.0,0.4556669236700077,-0.0326135821617306,-0.06458394989086351,-0.0006432144325976968
claude_ai,AE-DU,coursework_share,AE,203.0,3364.0,0.0603448275862069,196.0,1339.0,0.1463778939507095,-0.08603306636450259,-0.10660586740885586,-0.06546026532014931
claude_ai,AE-DU,success_rate,AE,2289.0,3365.0,0.6802377414561664,906.0,1339.0,0.6766243465272591,0.003613394928907332,-0.025985111384047268,0.033211901241861935
claude_ai,AE-DU,work_share,AE,1958.0,3364.0,0.5820451843043996,650.0,1339.0,0.4854368932038835,0.09660829110051605,0.06507339656834865,0.12814318563268345
claude_ai,AE-SH,automation_share,AE,153.0,319.0,0.47962382445141066,1818.0,4240.0,0.42877358490566037,0.0508502395457503,-0.005961478130654577,0.10766195722215517
claude_ai,AE-SH,coursework_share,AE,50.0,347.0,0.1440922190201729,349.0,4356.0,0.08011937557392103,0.06397284344625188,0.02615265811214966,0.10179302878035411
claude_ai,AE-SH,success_rate,AE,246.0,347.0,0.7089337175792507,2949.0,4357.0,0.6768418636676612,0.03209185391158953,-0.017680583740041417,0.08186429156322048
claude_ai,AE-SH,work_share,AE,166.0,347.0,0.4783861671469741,2442.0,4356.0,0.5606060606060606,-0.08221989345908648,-0.13680734304681108,-0.027632443871361864
claude_ai,AL,automation_share,GLOBAL,181.0,366.0,0.49453551912568305,441388.0,969144.0,0.4554410902817332,0.03909442884394987,-0.01213752799506597,0.0903263856829657
claude_ai,AL,coursework_share,GLOBAL,60.0,381.0,0.15748031496062992,124388.0,999321.0,0.12447251683893364,0.03300779812169628,-0.003573973905726821,0.06958957014911939
claude_ai,AL,success_rate,GLOBAL,259.0,381.0,0.6797900262467191,699126.0,999619.0,0.6993924685305101,-0.019602442283790933,-0.0664598576034385,0.027254973035856632
claude_ai,AL,work_share,GLOBAL,175.0,381.0,0.45931758530183725,452168.0,999321.0,0.4524752306816328,0.006842354620204438,-0.04320761460568875,0.056892323846097624
claude_ai,AM,automation_share,GLOBAL,243.0,586.0,0.41467576791808874,441326.0,968924.0,0.4554805124034496,-0.040804744485360867,-0.08070668335297282,-0.0009028056177489141
claude_ai,AM,coursework_share,GLOBAL,71.0,605.0,0.11735537190082644,124377.0,999097.0,0.12448941394078854,-0.007134042039962096,-0.03278839863094589,0.0185203145510217
claude_ai,AM,success_rate,GLOBAL,447.0,605.0,0.7388429752066116,698938.0,999395.0,0.6993611134736516,0.03948186173295998,0.00446731509764723,0.07449640836827273
claude_ai,AM,work_share,GLOBAL,304.0,605.0,0.5024793388429752,452039.0,999097.0,0.4524475601468126,0.050031778696162654,0.010177650211785634,0.08988590718053968
claude_ai,AO,automation_share,GLOBAL,158.0,350.0,0.4514285714285714,441411.0,969160.0,0.45545730323166456,-0.004028731803093155,-0.05617361359192151,0.0481161499857352
claude_ai,AO,coursework_share,GLOBAL,108.0,375.0,0.288,124340.0,999327.0,0.12442373717511886,0.16357626282488114,0.11773886389294963,0.20941366175681264
claude_ai,AO,success_rate,GLOBAL,273.0,375.0,0.728,699112.0,999625.0,0.6993742653495061,0.028625734650493895,-0.016422425215265768,0.07367389451625356
claude_ai,AO,work_share,GLOBAL,138.0,375.0,0.368,452205.0,999327.0,0.452509538919693,-0.08450953891969298,-0.13333087586458997,-0.03568820197479598
claude_ai,AR,automation_share,GLOBAL,2204.0,4857.0,0.45377805229565576,439365.0,964653.0,0.45546429648795994,-0.001686244192304176,-0.015723092115916555,0.012350603731308203
claude_ai,AR,coursework_share,GLOBAL,353.0,4985.0,0.0708124373119358,124095.0,994717.0,0.1247540757823582,-0.053941638470422396,-0.061092006241494884,-0.04679127069934991
claude_ai,AR,success_rate,GLOBAL,3548.0,4985.0,0.7117352056168506,695837.0,995015.0,0.6993231257820234,0.012412079834827172,-0.00019430673168235185,0.025018466401336696
claude_ai,AR,work_share,GLOBAL,2437.0,4985.0,0.48886659979939817,449906.0,994717.0,0.4522954770050175,0.036571122794380684,0.0226600062327306,0.05048223935603077
claude_ai,AR-B,automation_share,AR,569.0,1256.0,0.45302547770700635,1635.0,3601.0,0.45404054429325186,-0.0010150665862455055,-0.032989288248576026,0.030959155076085015
claude_ai,AR-B,coursework_share,AR,88.0,1294.0,0.06800618238021638,265.0,3691.0,0.07179626117583311,-0.0037900787956167276,-0.019837691019869694,0.012257533428636239
claude_ai,AR-B,success_rate,AR,940.0,1294.0,0.7264296754250387,2608.0,3691.0,0.7065835816851802,0.01984609373985846,-0.008539935941883715,0.04823212342160064
claude_ai,AR-B,work_share,AR,588.0,1294.0,0.45440494590417313,1849.0,3691.0,0.5009482525060959,-0.04654330660192274,-0.0781062987852163,-0.014980314418629188
claude_ai,AR-C,automation_share,AR,748.0,1713.0,0.4366608289550496,1456.0,3144.0,0.4631043256997455,-0.026443496744695927,-0.055691816117356255,0.0028048226279643977
claude_ai,AR-C,coursework_share,AR,98.0,1762.0,0.05561861520998865,255.0,3223.0,0.079118833385045,-0.023500218175056348,-0.03769039493354124,-0.009310041416571454
